phi_frac_EM,phase_numeric_rad,phase_theory_rad,residual_rad
-1.0,0.9877777468153435,-6.283185307179586,7.2709630539949295
-0.9,0.8889999721338094,-5.654866776461628,6.543866748595437
-0.8,0.790222197452275,-5.026548245743669,5.816770443195944
-0.7,0.6914444227707407,-4.39822971502571,5.089674137796451
-0.6,0.5926666480892062,-3.7699111843077517,4.362577832396958
-0.5,0.49388887340767174,-3.141592653589793,3.6354815269974647
-0.3999999999999999,0.3951110987261374,-2.513274122871834,2.9083852215979715
-0.29999999999999993,0.29633332404460294,-1.8849555921538754,2.1812889161984783
-0.19999999999999996,0.1975555493630687,-1.256637061435917,1.4541926107989858
-0.09999999999999998,0.09877777468153436,-0.6283185307179585,0.7270963053994929
0.0,-0.0,0.0,-0.0
0.10000000000000009,-0.09877777468153445,0.6283185307179592,-0.7270963053994937
0.20000000000000018,-0.1975555493630689,1.2566370614359184,-1.4541926107989873
0.30000000000000004,-0.2963333240446031,1.884955592153876,-2.181288916198479
0.40000000000000013,-0.3951110987261376,2.5132741228718354,-2.908385221597973
0.5,-0.49388887340767174,3.141592653589793,-3.6354815269974647
0.6000000000000001,-0.5926666480892062,3.769911184307752,-4.362577832396958
0.7000000000000002,-0.6914444227707409,4.398229715025711,-5.089674137796452
0.8,-0.790222197452275,5.026548245743669,-5.816770443195944
0.9000000000000001,-0.8889999721338095,5.6548667764616285,-6.543866748595438
1.0,-0.9877777468153435,6.283185307179586,-7.2709630539949295
