A_theta,A_demod,phi_demod,Ibar,Qbar,pred_absJ1_2piA,A_demod_norm,pred_absJ1_norm
0.05,0.22581471077811724,-1.5719891567595525,-0.0001346792448001979,-0.11290727506432968,0.15514969328365502,0.2666108189984045,0.26682192898532525
0.1,0.43582203511988765,-1.572977546129218,-0.00047531134776362645,-0.21791049918058752,0.29890905631337467,0.5145584595462264,0.5140550993607415
0.15000000000000002,0.6126877940279993,-1.5725774322126105,-0.0005456304861678376,-0.3063434111011637,0.4208168954448092,0.7233771174307398,0.7237086546276076
0.2,0.7466411379682758,-1.5719456691709197,-0.0004290730553078075,-0.3733203224081883,0.5121907087243275,0.8815307231565582,0.8808506805123244
0.25,0.8255388095434956,-1.5714816284417457,-0.0002828715307177833,-0.4127693078455811,0.5668240889058739,0.9746821957211831,0.9748075783862861
0.3,0.8469825479192898,-1.5712192612393512,-0.00017910904134386976,-0.4234912360839529,0.5814727967587251,1.0,1.0
0.35000000000000003,0.8099412656425302,-1.5720631233906783,-0.0005130152818372535,-0.40497030787821536,0.5560889008037342,0.9562667703511061,0.9563455141900239
0.4,0.7194438307937581,-1.5719387014356028,-0.00041093710447541557,-0.35972168067478993,0.4937844704853765,0.8494198995730841,0.8491961674524667
0.45,0.5838160849466332,-1.5724934502418617,-0.0004954037454264409,-0.29190762209255966,0.4005299421824561,0.6892893913585878,0.6888197425831616
0.5,0.41493398848441687,-1.5718067934299476,-0.00020963843988108154,-0.20746688832587495,0.28461534317975284,0.4898967393174157,0.48947318733786
